case_id,raw_text,industry
case_001,"Zuno Pay was a B2C mobile payments app targeting unbanked users in rural India. The founding team had deep engineering talent but no prior experience in financial regulation. They launched in 2019, processed over ₹3 crore in test transactions, but were shut down by RBI in 2021 for operating without a payment aggregator license. Legal compliance was never prioritized during the build phase.",FinTech
case_002,"SolarGrid Pro was a B2B SaaS platform for commercial solar farm monitoring in the US. The company raised $2.1M seed funding in 2020. Strong product-market fit was established with 12 enterprise pilots in Q1 2021. However, a critical sensor firmware bug caused mass alert failures across 8 client sites in Q3 2021, leading to contract terminations and a forced shutdown by Q1 2022.",CleanTech
case_003,"MedBot Health was an AI-powered diagnostic assistant for rural clinics in Southeast Asia. The team built a sophisticated NLP model but failed to account for local language dialect variations, resulting in misdiagnosis rates exceeding 18% in pilot clinics. User trust collapsed within 6 months of launch and the company was unable to secure Series A funding.",HealthTech
case_004,"FarmLink was a B2B marketplace connecting smallholder farmers directly to restaurant chains in Nigeria. The platform achieved GMV of $180K in its first 8 months, demonstrated strong unit economics, and successfully closed a $500K pre-Series A round. It is currently operating profitably in 3 states with expansion underway.",AgriTech
case_005,"EduStack was an adaptive learning platform for K-12 students in Brazil. The company spent 80% of its $300K seed on content creation but allocated only $20K to customer acquisition. With a CAC of $240 against an LTV of $95, the unit economics were fundamentally broken and the company shut down after 14 months.",EdTech
case_006,"Chainlink Logistics built a blockchain-based supply chain tracking tool for pharmaceutical cold-chain management in Europe. The solution achieved GDPR compliance and secured 2 enterprise pilots with mid-sized distributors. Revenue is growing at 22% QoQ and the company recently closed a €1.2M Seed round.",LogisticsTech
case_007,"NimbusDrive was a cloud storage solution for SMEs in Southeast Asia. The team underestimated competition from AWS S3 and Google Cloud Storage, who aggressively discounted their offerings in the region. NimbusDrive was unable to differentiate on price or features and shut down after burning through $450K with only 12 paying customers.",CloudTech
case_008,"RecyclePro was a B2C app that gamified household recycling habits in Germany. Despite 40K app downloads, only 3% of users linked their actual recycling actions to the app due to poor integration with municipal waste tracking systems. The company pivoted twice but never achieved meaningful retention above 8%.",GreenTech
case_009,"TalentScout AI was a B2B hiring platform using AI to reduce screening bias for Fortune 500 companies. The product was adopted by 3 enterprise clients in the US, reduced time-to-hire by 35%, and secured a $2M Series A. The platform is now processing 50,000 applications per month.",HRTech
case_010,"BuildBuddy was a construction project management SaaS for mid-size contractors in the Middle East. The founders hired a 14-person engineering team before achieving product-market fit. Monthly burn reached $180K against $12K MRR. Runway exhausted in 8 months and the company folded.",ConTech
case_011,"CryptoLend was a DeFi lending platform in Singapore. The team launched without completing a formal security audit. In March 2022, a reentrancy vulnerability in the smart contract was exploited, draining $3.2M in user funds. The platform was shut down immediately and founders faced regulatory scrutiny.",Web3/DeFi
case_012,"CargoMatch is a freight brokerage platform connecting truckers to shippers in India. It achieved $1.2M in annualized GMV within 18 months, reached EBITDA breakeven in month 22, and is expanding to 5 new cities backed by a $3M Series A.",LogisticsTech
case_013,"NeuroCoach was a mental wellness app targeting corporate employees in the UK. The app had strong engagement metrics (DAU/MAU of 38%) but relied on a freemium model with a 0.8% conversion rate. Revenue projections assumed a 5% conversion rate. The company ran out of cash before reaching sustainability.",WellnessTech
case_014,"ColdChain Labs developed IoT sensors for pharmaceutical temperature monitoring in the US. Medical device certification (FDA 510k) took 28 months instead of the projected 12, exhausting the company's runway. The product was technically sound but the regulatory timeline was fatally underestimated.",MedTech
case_015,"ShopLocal was a hyperlocal e-commerce aggregator for independent retailers in Canada. GMV reached CAD $2.4M in year 2, the team maintained healthy unit economics (LTV:CAC of 4.2:1), and they are now expanding to 3 new cities with a CAD $1.5M seed extension.",RetailTech
case_016,"AeroSense built drone-based agricultural crop monitoring for large farms in Australia. The company over-engineered its hardware with custom components that tripled BOM cost vs. off-the-shelf alternatives. At $18,000 per unit, the addressable market was limited to fewer than 200 farms nationally, making the business unscalable.",AgriTech
case_017,"LegalEase was an AI-powered contract review SaaS for law firms in the US. After 18 months, the product had 140 paying firms, $420K ARR, and was growing at 15% MoM. A $3M Series A closed in early 2024.",LegalTech
case_018,"InstaCook was a B2C meal kit service in Southeast Asia that launched during peak COVID demand. Post-pandemic, demand dropped 65% and the company failed to pivot its cost structure fast enough. Gross margins turned negative as delivery costs exceeded order values, and the company shut down in 2023.",FoodTech
case_019,"GridBalance was a B2B energy management SaaS for commercial real estate in the US. The company secured 8 enterprise contracts in 12 months, achieved $650K ARR, and is on track for Series A in Q2 2025.",CleanTech
case_020,"PayEasy targeted the remittance market in East Africa with a mobile money transfer product. The team failed to secure the required MTN (Mobile Termination Network) partnerships in Kenya and Tanzania, making the product non-functional in its primary markets. The company burned $280K and shut down after 11 months.",FinTech
